Link,Chipset,Antutu_11,Clock,GPU,Architecture
/en/soc/qualcomm-snapdragon-835,Snapdragon 835,438016,2450 MHz,Adreno 540,4x 2.45 GHz – Kryo 280 (Cortex-A73) | 4x 1.9 GHz – Kryo 280 (Cortex-A53)
/en/soc/unisoc-tiger-t620,Tiger T620,443956,2200 MHz,Mali-G57 MP1,2x 2.2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/mediatek-helio-g91,Helio G91,354158,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/qualcomm-snapdragon-710,Snapdragon 710,417439,2200 MHz,Adreno 616,2x 2.2 GHz – Kryo 360 Gold (Cortex-A75) | 6x 1.7 GHz – Kryo 360 Silver (Cortex-A55)
/en/soc/mediatek-helio-g92-max,Helio G92 Max,370885,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/unisoc-tiger-t615,Tiger T615,351752,1800 MHz,Mali-G57 MP1,2x 1.8 GHz – Cortex-A75 | 6x 1.6 GHz – Cortex-A55
/en/soc/mediatek-helio-g81,Helio G81,357879,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.7 GHz – Cortex-A55
/en/soc/unisoc-tiger-t612,Tiger T612,341088,1800 MHz,Mali-G57 MP1,2x 1.8 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/unisoc-tiger-t616,Tiger T616,388158,2000 MHz,Mali-G57 MP1,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/mediatek-helio-g88,Helio G88,353817,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
/en/soc/unisoc-tiger-t618,Tiger T618,364048,2000 MHz,Mali-G52 MP2,2x 2 GHz – Cortex-A75 | 6x 1.8 GHz – Cortex-A55
